name,latitude,longitude
KOTA SOLOK,-0.803027,100.644402
KOTA SAWAH LUNTO,-0.6810286,100.7763604
KOTA PADANG PANJANG,-0.470679,100.4059456
KOTA BUKITTINGGI,-0.3055556,100.3691667
KOTA PAYAKUMBUH,-0.22887,100.632301
KOTA PARIAMAN,-0.6264389,100.1179574
KUANTAN SINGINGI,-0.4411596,101.5248055
INDRAGIRI HULU,-0.7361181,102.2547919
INDRAGIRI HILIR,-0.1456733,102.989615
PELALAWAN,0.441415,102.088699
S I A K,-0.789275,113.921327
KAMPAR,0.146671,101.1617356
ROKAN HULU,1.0410934,100.439656
BENGKALIS,1.4897222,102.0797222
ROKAN HILIR,1.6463978,100.8000051
KOTA PEKANBARU,0.5333333,101.45
KOTA DUMAI,1.665742,101.447601
KERINCI,-1.697,101.264
BATANG HARI,-1.7083922,103.0817903
OGAN KOMERING ULU,-4.0283486,104.0072348
OGAN KOMERING ILIR,-3.4559744,105.2194808
MUARA ENIM,-3.651581,103.770798
LAHAT,-3.7863889,103.5427778
MUSI RAWAS,-2.8625305,102.989615
MUSI BANYUASIN,-2.5442029,103.7289167
BANYU ASIN,-2.6095639,104.7520939
OGAN KOMERING ULU SELATAN,-4.6681951,104.0072348
OGAN KOMERING ULU TIMUR,-3.8567934,104.7520939
OGAN ILIR,-3.426544,104.6121475
EMPAT LAWANG,-3.7286029,102.8975098
KOTA PALEMBANG,-2.9911083,104.7567333
KOTA PRABUMULIH,-3.440956,104.235397
KOTA PAGAR ALAM,-4.03767,103.265297
KOTA LUBUKLINGGAU,-3.2966667,102.8616667
BENGKULU SELATAN,-4.3248409,103.035694
REJANG LEBONG,-3.4548154,102.6675575
BENGKULU UTARA,-3.4219555,102.1632718
KAUR,-4.6792278,103.4511768
SELUMA,-4.0622929,102.5642261
MUKOMUKO,-2.5760003,101.1169805
LEBONG,-2.992617,104.382202
KEPAHIANG,-3.651431,102.578201
KOTA BENGKULU,-3.7955556,102.2591667
LAMPUNG BARAT,-5.1490396,104.1930918
TANGGAMUS,-5.3027489,104.5655273
LAMPUNG SELATAN,-5.5622614,105.5474373
LAMPUNG TIMUR,-5.1134995,105.6881788
LAMPUNG TENGAH,-4.8008086,105.3131185
LAMPUNG UTARA,-4.8133905,104.7520939
WAY KANAN,-4.4963689,104.5655273
TULANGBAWANG,-4.3176576,105.5005483
PESAWARAN,-5.493245,105.0791228
KOTA BANDAR LAMPUNG,-5.45,105.2666667
KOTA METRO,-5.1166667,105.3
BANGKA,-2.2884782,106.0640179
BELITUNG,-2.8708938,107.9531836
BANGKA BARAT,-2.2884782,106.0640179
BANGKA TENGAH,-2.2884782,106.0640179
BANGKA SELATAN,-2.2884782,106.0640179
BELITUNG TIMUR,-2.8708938,107.9531836
KOTA PANGKAL PINANG,-2.129323,106.109596
KARIMUN,1.05,103.3666667
BINTAN,1.0619173,104.5189214
NATUNA,3.9329945,108.1812242
LINGGA,-0.1627686,104.6354631
KOTA BATAM,1.0456264,104.0304535
KOTA TANJUNG PINANG,0.9179205,104.446464
KEPULAUAN SERIBU,-5.7985266,106.5071982
KOTA JAKARTA SELATAN,-6.332973,106.807915
KOTA JAKARTA TIMUR,-6.211544,106.845172
KOTA JAKARTA PUSAT,-6.211544,106.845172
KOTA JAKARTA BARAT,-6.211544,106.845172
KOTA JAKARTA UTARA,-6.211544,106.845172
BOGOR,-6.6,106.8
SUKABUMI,-6.92405,106.922203
CIANJUR,-6.8172531,107.1307289
BANDUNG,-6.9147444,107.6098111
GARUT,-7.227906,107.908699
TASIKMALAYA,-7.327954,108.214104
CIAMIS,-7.3333333,108.35
KUNINGAN,-6.9833333,108.4833333
CIREBON,-6.715534,108.564003
MAJALENGKA,-6.8531026,108.2258897
SUMEDANG,0.6095949,110.0330554
INDRAMAYU,-6.336315,108.325104
SUBANG,-6.569361,107.752403
PURWAKARTA,-6.5386806,107.4499404
KARAWANG,-6.3227303,107.3375791
BEKASI,-6.2333333,107.0
BANDUNG BARAT,-6.8937121,107.4321959
KOTA BOGOR,-6.6,106.8
KOTA SUKABUMI,-6.92405,106.922203
KOTA BANDUNG,-6.9147444,107.6098111
KOTA CIREBON,-6.715534,108.564003
KOTA BEKASI,-6.2333333,107.0
KOTA DEPOK,-6.39,106.83
KOTA CIMAHI,-6.880239,107.5355
KOTA TASIKMALAYA,-7.327954,108.214104
KOTA BANJAR,-7.3666667,108.5333333
CILACAP,-7.733333,109.0
BANYUMAS,-7.4832133,109.140438
PURBALINGGA,-7.390747,109.3638
BANJARNEGARA,-7.402706,109.681396
KEBUMEN,-7.678682,109.656502
PURWOREJO,-7.709731,110.008003
WONOSOBO,-7.362109,109.899399
MAGELANG,-7.481253,110.213799
BOYOLALI,-7.523819,110.595901
KLATEN,-7.711687,110.595497
SUKOHARJO,-7.6808818,110.8195292
WONOGIRI,-7.817782,110.920601
KARANGANYAR,-7.5961111,110.9508333
SRAGEN,-7.430229,111.021301
GROBOGAN,-7.0217194,110.9625854
BLORA,-6.95,111.4166667
REMBANG,-6.71124,111.345299
PATI,-6.751338,111.038002
KUDUS,-6.804087,110.838203
JEPARA,-6.5596059,110.6717
DEMAK,-6.888115,110.639297
SEMARANG,-6.9666667,110.4166667
TEMANGGUNG,-7.316669,110.174797
KENDAL,-6.919686,110.205597
BATANG,-6.8941111,109.7234519
PEKALONGAN,-6.882887,109.669998
PEMALANG,-6.884234,109.377998
TEGAL,-6.8666667,109.1333333
BREBES,-6.8833333,109.05
KOTA MAGELANG,-7.481253,110.213799
KOTA SURAKARTA,-7.5666667,110.8166667
KOTA SALATIGA,-7.302328,110.4729
KOTA SEMARANG,-6.9666667,110.4166667
KOTA PEKALONGAN,-6.882887,109.669998
KOTA TEGAL,-6.8666667,109.1333333
KULON PROGO,-7.8266798,110.1640846
BANTUL,-7.8846111,110.3341111
